id,value,timestamp
1,400,2024-09-10 06:08:01.647424
2,425,2024-09-10 06:08:02.647501
3,450,2024-09-10 06:08:03.647520
4,475,2024-09-10 06:08:04.647533
5,500,2024-09-10 06:08:05.647604
6,525,2024-09-10 06:08:06.647641
7,550,2024-09-10 06:08:07.647662
8,575,2024-09-10 06:08:08.647681
9,600,2024-09-10 06:08:09.647702
10,625,2024-09-10 06:08:10.647722
11,650,2024-09-10 06:08:11.647737
12,675,2024-09-10 06:08:12.647748
13,700,2024-09-10 06:08:13.647759
14,725,2024-09-10 06:08:14.647770
15,750,2024-09-10 06:08:15.647781
16,775,2024-09-10 06:08:16.647792
17,800,2024-09-10 06:08:17.647813
18,825,2024-09-10 06:08:18.647825
19,850,2024-09-10 06:08:19.647836
20,875,2024-09-10 06:08:20.647847
21,900,2024-09-10 06:08:21.647858
22,925,2024-09-10 06:08:22.647891
23,950,2024-09-10 06:08:23.647908
24,975,2024-09-10 06:08:24.647924
25,1000,2024-09-10 06:08:25.647937
26,1025,2024-09-10 06:08:26.647948
27,1050,2024-09-10 06:08:27.647968
28,1075,2024-09-10 06:08:28.647983
29,1100,2024-09-10 06:08:29.648001
30,1125,2024-09-10 06:08:30.648020
31,1150,2024-09-10 06:08:31.648035
32,1175,2024-09-10 06:08:32.648049
33,1200,2024-09-10 06:08:33.648068
34,1225,2024-09-10 06:08:34.648097
35,1250,2024-09-10 06:08:35.648116
36,1275,2024-09-10 06:08:36.648135
37,1300,2024-09-10 06:08:37.648163
38,1325,2024-09-10 06:08:38.648182
39,1350,2024-09-10 06:08:39.648193
40,1375,2024-09-10 06:08:40.648204
41,1400,2024-09-10 06:08:41.648216
42,1425,2024-09-10 06:08:42.648227
43,1450,2024-09-10 06:08:43.648238
44,1475,2024-09-10 06:08:44.648261
45,1500,2024-09-10 06:08:45.648273
46,1525,2024-09-10 06:08:46.648284
47,1550,2024-09-10 06:08:47.648295
48,1575,2024-09-10 06:08:48.648312
49,1600,2024-09-10 06:08:49.648331
50,1625,2024-09-10 06:08:50.648344
