Call_ID,Caller_ID,Recipient_ID,Call_Duration,Call_Time
1,09876,65432,178,2024-09-12 00:56:46.847500
2,67890,54321,170,2024-09-11 19:05:46.847515
3,13579,65432,305,2024-09-12 04:08:46.847523
4,67890,98765,384,2024-09-11 14:44:46.847530
5,09876,65432,122,2024-09-11 13:36:46.847540
6,13579,98765,159,2024-09-12 03:57:46.847544
7,09876,76543,195,2024-09-11 23:14:46.847549
8,54321,76543,273,2024-09-11 14:50:46.847555
9,67890,54321,427,2024-09-11 13:51:46.847560
10,12345,98765,370,2024-09-11 15:23:46.847565
11,09876,65432,195,2024-09-11 14:40:46.847569
12,54321,54321,349,2024-09-11 16:41:46.847573
13,13579,98765,457,2024-09-11 22:28:46.847577
14,12345,87654,229,2024-09-11 15:25:46.847581
15,09876,76543,241,2024-09-12 03:26:46.847585
16,67890,98765,425,2024-09-12 03:20:46.847589
17,09876,76543,308,2024-09-11 20:20:46.847593
18,54321,65432,457,2024-09-12 06:59:46.847597
19,09876,65432,126,2024-09-11 15:10:46.847601
20,12345,65432,220,2024-09-12 08:09:46.847604
21,12345,54321,209,2024-09-12 03:38:46.847608
22,13579,76543,394,2024-09-12 06:44:46.847612
23,67890,54321,459,2024-09-11 18:47:46.847616
24,67890,54321,164,2024-09-12 05:27:46.847620
25,12345,87654,129,2024-09-11 20:23:46.847624
26,12345,98765,483,2024-09-12 00:15:46.847628
27,13579,98765,194,2024-09-11 16:57:46.847632
28,13579,87654,125,2024-09-11 22:36:46.847636
29,67890,87654,376,2024-09-12 02:36:46.847639
30,13579,98765,133,2024-09-12 07:54:46.847643
31,67890,87654,192,2024-09-11 13:43:46.847647
32,54321,54321,318,2024-09-11 13:52:46.847651
33,13579,54321,393,2024-09-11 20:44:46.847656
34,54321,65432,195,2024-09-12 08:00:46.847660
35,54321,87654,243,2024-09-12 08:26:46.847663
36,54321,54321,278,2024-09-12 02:03:46.847667
37,67890,65432,100,2024-09-11 16:37:46.847671
38,09876,76543,436,2024-09-11 22:56:46.847675
39,54321,65432,499,2024-09-12 02:43:46.847679
40,13579,54321,193,2024-09-12 05:07:46.847683
41,54321,87654,299,2024-09-11 11:25:46.847687
42,13579,98765,113,2024-09-11 11:19:46.847691
43,67890,76543,426,2024-09-12 03:09:46.847695
44,54321,76543,378,2024-09-11 11:17:46.847699
45,54321,65432,195,2024-09-11 19:41:46.847703
46,09876,65432,424,2024-09-12 05:22:46.847706
47,09876,54321,477,2024-09-12 00:19:46.847712
