Call_ID,Caller_ID,Recipient_ID,Call_Duration,Call_Time
1,67890,76543,354,2024-09-12 03:25:46.464700
2,67890,65432,174,2024-09-11 14:53:46.464721
3,12345,87654,406,2024-09-12 08:02:46.464726
4,67890,54321,383,2024-09-11 14:12:46.464731
5,54321,87654,176,2024-09-11 17:19:46.464735
6,13579,87654,274,2024-09-12 01:41:46.464740
7,13579,76543,219,2024-09-12 03:25:46.464744
8,12345,54321,278,2024-09-11 23:19:46.464753
9,09876,54321,331,2024-09-11 16:41:46.464761
10,54321,98765,371,2024-09-11 10:16:46.464769
11,67890,65432,180,2024-09-11 19:50:46.464776
12,13579,54321,329,2024-09-12 03:44:46.464779
13,12345,65432,246,2024-09-11 17:34:46.464783
14,54321,65432,455,2024-09-11 22:05:46.464787
15,67890,54321,212,2024-09-12 09:30:46.464793
16,09876,54321,245,2024-09-11 19:49:46.464797
17,54321,87654,160,2024-09-12 02:22:46.464801
18,54321,65432,312,2024-09-12 08:09:46.464805
19,67890,54321,200,2024-09-11 21:29:46.464809
20,13579,54321,483,2024-09-12 02:12:46.464813
21,67890,76543,413,2024-09-11 21:27:46.464817
22,12345,54321,277,2024-09-11 22:18:46.464821
23,54321,54321,415,2024-09-12 06:14:46.464832
24,54321,98765,298,2024-09-11 14:04:46.464837
25,67890,76543,465,2024-09-11 09:46:46.464842
26,09876,54321,215,2024-09-12 06:32:46.464846
27,54321,87654,132,2024-09-12 00:36:46.464850
28,67890,65432,436,2024-09-12 05:41:46.464854
29,54321,65432,350,2024-09-12 06:09:46.464858
30,67890,54321,384,2024-09-12 03:45:46.464866
31,54321,87654,176,2024-09-11 19:20:46.464873
32,67890,87654,320,2024-09-12 01:48:46.464880
33,09876,54321,233,2024-09-12 09:12:46.464885
34,12345,87654,287,2024-09-11 18:25:46.464890
35,09876,98765,184,2024-09-12 01:31:46.464895
36,09876,65432,282,2024-09-12 03:01:46.464899
37,12345,98765,311,2024-09-11 20:14:46.464902
38,54321,98765,350,2024-09-12 04:07:46.464906
39,54321,76543,448,2024-09-12 08:25:46.464911
40,13579,65432,135,2024-09-11 23:53:46.464915
41,12345,87654,285,2024-09-11 13:58:46.464919
42,67890,65432,363,2024-09-12 08:20:46.464923
43,13579,98765,485,2024-09-12 06:09:46.464927
44,12345,65432,420,2024-09-11 21:53:46.464931
45,13579,76543,372,2024-09-12 05:22:46.464935
46,12345,76543,468,2024-09-12 00:22:46.464939
47,12345,87654,172,2024-09-11 11:40:46.464943
48,12345,65432,297,2024-09-11 23:36:46.464947
49,09876,65432,100,2024-09-12 02:00:46.464958
50,09876,98765,414,2024-09-11 18:31:46.464963
51,67890,76543,458,2024-09-12 06:14:46.464970
52,09876,98765,159,2024-09-11 21:00:46.464977
53,54321,87654,163,2024-09-11 19:33:46.464983
54,54321,87654,464,2024-09-12 01:48:46.464990
55,09876,54321,408,2024-09-12 03:37:46.464997
56,54321,65432,148,2024-09-12 01:45:46.465004
57,13579,76543,424,2024-09-11 12:13:46.465007
58,67890,65432,226,2024-09-12 04:47:46.465011
59,13579,87654,481,2024-09-11 19:07:46.465025
60,12345,98765,131,2024-09-11 18:57:46.465030
61,12345,65432,173,2024-09-12 06:53:46.465034
62,54321,65432,459,2024-09-12 00:37:46.465038
63,09876,54321,170,2024-09-12 05:04:46.465042
64,13579,54321,413,2024-09-11 09:43:46.465046
65,13579,76543,204,2024-09-11 23:58:46.465050
66,09876,87654,448,2024-09-11 18:38:46.465055
67,54321,98765,483,2024-09-12 06:18:46.465058
68,09876,76543,365,2024-09-12 01:39:46.465063
69,13579,54321,426,2024-09-12 00:22:46.465067
70,67890,65432,128,2024-09-12 07:32:46.465071
71,13579,76543,161,2024-09-11 21:44:46.465075
72,54321,87654,363,2024-09-11 11:46:46.465079
73,12345,65432,166,2024-09-11 16:55:46.465083
74,09876,54321,408,2024-09-11 10:08:46.465087
75,54321,76543,435,2024-09-11 19:27:46.465091
76,12345,54321,155,2024-09-11 11:35:46.465095
77,54321,54321,344,2024-09-12 01:48:46.465099
78,12345,65432,409,2024-09-12 01:48:46.465103
79,67890,54321,144,2024-09-12 09:35:46.465107
80,67890,54321,479,2024-09-12 02:07:46.465111
81,54321,76543,202,2024-09-11 13:27:46.465115
82,12345,65432,358,2024-09-11 16:46:46.465120
83,12345,54321,276,2024-09-12 01:12:46.465124
84,09876,65432,471,2024-09-11 21:13:46.465130
85,13579,54321,107,2024-09-11 16:57:46.465134
86,67890,76543,420,2024-09-11 23:37:46.465147
87,13579,54321,153,2024-09-11 11:15:46.465154
88,54321,98765,313,2024-09-11 10:02:46.465160
89,12345,98765,116,2024-09-11 15:43:46.465167
90,13579,54321,148,2024-09-11 13:16:46.465174
91,67890,76543,167,2024-09-12 07:06:46.465180
92,13579,76543,335,2024-09-12 07:08:46.465186
93,67890,98765,202,2024-09-11 21:57:46.465190
94,54321,98765,408,2024-09-11 13:34:46.465194
95,09876,76543,240,2024-09-11 17:27:46.465198
96,09876,98765,316,2024-09-11 18:36:46.465201
97,13579,65432,356,2024-09-12 01:43:46.465205
98,54321,76543,425,2024-09-11 18:06:46.465209
99,09876,54321,236,2024-09-11 19:00:46.465213
100,67890,98765,129,2024-09-11 23:03:46.465219
101,54321,76543,483,2024-09-11 23:18:46.465226
102,09876,65432,440,2024-09-12 06:32:46.465233
103,13579,98765,251,2024-09-11 19:55:46.465240
104,09876,54321,167,2024-09-12 03:26:46.465244
105,12345,65432,210,2024-09-12 00:50:46.465248
106,13579,76543,422,2024-09-11 15:24:46.465252
107,67890,87654,289,2024-09-12 06:47:46.465256
108,12345,54321,107,2024-09-12 08:17:46.465260
109,13579,87654,108,2024-09-11 18:36:46.465263
110,09876,76543,389,2024-09-12 06:15:46.465268
111,09876,54321,495,2024-09-12 04:45:46.465272
112,13579,98765,415,2024-09-11 20:26:46.465276
113,09876,98765,458,2024-09-12 09:18:46.465280
114,54321,98765,430,2024-09-12 02:06:46.465284
115,09876,65432,189,2024-09-11 14:07:46.465288
116,12345,65432,190,2024-09-11 18:47:46.465292
117,12345,65432,313,2024-09-11 16:41:46.465296
118,09876,87654,249,2024-09-12 07:56:46.465299
119,12345,98765,385,2024-09-12 04:15:46.465303
120,12345,65432,445,2024-09-11 14:07:46.465307
121,09876,87654,428,2024-09-11 14:22:46.465311
122,13579,65432,351,2024-09-12 06:03:46.465315
123,12345,54321,495,2024-09-11 20:25:46.465319
124,54321,98765,315,2024-09-12 08:13:46.465323
125,12345,76543,396,2024-09-12 08:23:46.465327
126,12345,65432,206,2024-09-12 03:35:46.465331
127,67890,98765,167,2024-09-11 22:21:46.465334
128,12345,98765,198,2024-09-12 09:01:46.465339
129,13579,65432,154,2024-09-12 05:34:46.465343
130,12345,98765,172,2024-09-11 19:33:46.465348
131,12345,76543,282,2024-09-12 05:13:46.465352
132,54321,87654,364,2024-09-11 17:01:46.465356
133,67890,87654,102,2024-09-11 16:52:46.465360
134,67890,65432,131,2024-09-11 12:23:46.465364
135,13579,54321,413,2024-09-11 19:15:46.465368
136,67890,65432,436,2024-09-11 18:58:46.465372
137,67890,98765,208,2024-09-11 18:40:46.465375
138,09876,98765,443,2024-09-12 03:26:46.465379
139,12345,98765,153,2024-09-11 12:44:46.465383
140,67890,87654,429,2024-09-11 17:46:46.465387
141,09876,76543,281,2024-09-12 05:35:46.465398
142,09876,76543,289,2024-09-12 02:00:46.465401
143,09876,87654,353,2024-09-12 00:11:46.465405
144,12345,76543,117,2024-09-11 12:21:46.465409
145,13579,54321,194,2024-09-11 17:48:46.465413
146,13579,98765,225,2024-09-11 20:42:46.465417
147,13579,54321,496,2024-09-12 08:25:46.465421
148,54321,54321,288,2024-09-11 19:58:46.465425
149,12345,54321,104,2024-09-11 21:51:46.465429
150,54321,76543,321,2024-09-12 03:30:46.465433
