Timestamp,City,SignalStrength,CallDropRate,DataUsageMB,CustomerSatisfaction
2024-09-13 10:05:03,New York,2.03,0.05,2265,3.73
2024-09-11 21:25:03,Los Angeles,2.55,0.01,2462,4.15
2024-09-11 18:20:03,Chicago,2.78,0.18,4376,1.59
2024-09-13 01:32:03,Houston,4.02,0.17,1947,4.47
2024-09-13 23:03:03,Phoenix,1.78,0.01,4918,2.28
2024-09-13 03:43:03,New York,1.09,0.02,3145,4.28
2024-09-16 05:55:03,Los Angeles,1.53,0.13,2687,1.58
2024-09-13 17:41:03,Chicago,3.35,0.17,1890,2.85
2024-09-11 19:56:03,Houston,2.68,0.03,2728,1.43
2024-09-11 18:36:03,Phoenix,1.66,0.07,2095,3.34
2024-09-14 04:20:03,New York,1.66,0.01,3253,1.63
2024-09-11 22:16:03,Los Angeles,3.74,0.2,4124,1.62
2024-09-13 20:36:03,Chicago,4.89,0.0,4724,4.82
2024-09-13 16:57:03,Houston,2.58,0.13,2544,3.07
2024-09-12 11:58:03,Phoenix,3.39,0.1,3534,3.22
2024-09-15 00:34:03,New York,1.78,0.17,1085,1.28
2024-09-14 13:04:03,Los Angeles,2.18,0.16,689,4.43
2024-09-14 04:36:03,Chicago,2.87,0.08,1064,1.47
2024-09-15 18:03:03,Houston,3.41,0.12,3663,3.26
2024-09-15 18:47:03,Phoenix,1.33,0.18,543,3.94
2024-09-13 21:13:03,New York,3.24,0.05,761,4.27
2024-09-15 09:18:03,Los Angeles,4.85,0.12,625,4.98
2024-09-13 13:53:03,Chicago,2.21,0.07,2442,3.08
2024-09-13 19:59:03,Houston,3.08,0.14,2439,3.71
2024-09-13 00:39:03,Phoenix,1.03,0.01,707,4.42
2024-09-14 06:09:03,New York,4.91,0.03,3783,2.43
2024-09-13 10:00:03,Los Angeles,4.99,0.11,4043,4.99
2024-09-14 23:29:03,Chicago,1.95,0.19,2017,2.55
2024-09-15 13:32:03,Houston,3.6,0.19,2387,1.81
2024-09-15 00:14:03,Phoenix,4.19,0.09,1340,4.39
2024-09-12 13:06:03,New York,1.81,0.19,1068,1.04
2024-09-13 03:03:03,Los Angeles,4.76,0.15,3450,2.45
2024-09-15 11:45:03,Chicago,3.84,0.04,3274,4.13
2024-09-16 04:09:03,Houston,4.33,0.05,1418,4.57
2024-09-11 18:55:03,Phoenix,3.21,0.15,2129,4.39
2024-09-12 06:14:03,New York,3.61,0.09,1659,1.26
2024-09-14 19:24:03,Los Angeles,4.57,0.19,3586,3.78
2024-09-13 07:24:03,Chicago,4.59,0.19,4819,4.63
2024-09-13 00:27:03,Houston,2.94,0.07,579,4.33
2024-09-13 21:15:03,Phoenix,3.96,0.13,1322,1.32
2024-09-15 12:43:03,New York,2.46,0.17,3406,1.45
2024-09-14 12:27:03,Los Angeles,1.69,0.2,3614,3.16
2024-09-14 13:41:03,Chicago,3.92,0.03,2698,1.02
2024-09-16 06:28:03,Houston,2.29,0.0,1130,4.2
2024-09-11 17:57:03,Phoenix,2.87,0.12,994,3.85
2024-09-12 12:05:03,New York,4.04,0.03,1543,4.55
2024-09-12 12:51:03,Los Angeles,4.92,0.11,3599,2.77
2024-09-12 00:16:03,Chicago,1.62,0.1,808,3.4
2024-09-11 16:31:03,Houston,3.08,0.17,4894,3.42
2024-09-12 16:38:03,Phoenix,2.15,0.04,3237,2.97
2024-09-11 10:15:03,New York,2.36,0.18,4788,3.94
2024-09-11 19:33:03,Los Angeles,2.77,0.15,4037,4.84
2024-09-14 15:56:03,Chicago,1.19,0.16,1789,4.77
2024-09-14 16:03:03,Houston,1.45,0.05,506,1.89
2024-09-15 12:05:03,Phoenix,2.84,0.07,878,3.98
2024-09-13 05:23:03,New York,1.73,0.17,1905,1.63
2024-09-15 22:56:03,Los Angeles,2.67,0.2,4212,3.29
2024-09-14 15:58:03,Chicago,4.45,0.06,4970,3.71
2024-09-14 21:53:03,Houston,3.48,0.04,2549,2.77
2024-09-13 08:15:03,Phoenix,3.21,0.03,4048,2.68
2024-09-12 02:06:03,New York,3.59,0.11,2939,2.58
2024-09-12 08:48:03,Los Angeles,1.72,0.14,3631,4.5
2024-09-12 05:12:03,Chicago,4.02,0.05,2650,2.61
2024-09-11 09:00:03,Houston,2.72,0.12,3822,3.86
2024-09-14 07:21:03,Phoenix,1.19,0.1,2330,3.89
2024-09-15 17:47:03,New York,3.52,0.04,4875,4.9
2024-09-13 05:10:03,Los Angeles,2.59,0.1,4492,1.73
2024-09-15 19:16:03,Chicago,1.78,0.13,2412,2.3
2024-09-12 09:39:03,Houston,4.94,0.15,3658,2.02
2024-09-13 03:58:03,Phoenix,2.3,0.19,3193,1.04
2024-09-16 02:31:03,New York,3.0,0.04,4973,3.58
2024-09-11 12:13:03,Los Angeles,4.47,0.09,3679,4.15
2024-09-14 14:51:03,Chicago,4.86,0.18,3911,4.06
2024-09-11 14:12:03,Houston,3.13,0.04,1001,4.32
2024-09-14 09:26:03,Phoenix,3.28,0.13,4478,4.96
2024-09-11 10:10:03,New York,3.75,0.05,590,4.49
2024-09-15 22:33:03,Los Angeles,1.82,0.13,2791,2.46
2024-09-14 01:55:03,Chicago,1.49,0.16,3431,2.61
2024-09-16 03:50:03,Houston,4.05,0.11,793,3.34
2024-09-14 14:55:03,Phoenix,3.63,0.11,1076,1.58
2024-09-12 15:16:03,New York,1.98,0.05,993,3.86
2024-09-12 14:33:03,Los Angeles,4.36,0.1,1270,4.4
2024-09-13 09:56:03,Chicago,2.56,0.13,2748,3.22
2024-09-12 02:12:03,Houston,4.24,0.2,2117,3.34
2024-09-14 07:22:03,Phoenix,4.89,0.09,4309,4.06
2024-09-14 04:58:03,New York,1.11,0.09,1138,3.6
2024-09-14 15:01:03,Los Angeles,2.12,0.18,2834,2.89
2024-09-14 23:01:03,Chicago,4.07,0.03,3296,1.37
2024-09-13 21:11:03,Houston,2.21,0.16,1338,4.74
2024-09-12 05:31:03,Phoenix,1.31,0.04,3374,3.35
2024-09-14 04:43:03,New York,4.8,0.08,1421,4.92
2024-09-13 22:47:03,Los Angeles,1.1,0.01,2013,4.6
2024-09-13 16:17:03,Chicago,1.24,0.14,1358,1.22
2024-09-12 20:19:03,Houston,4.63,0.14,2452,4.89
2024-09-14 21:28:03,Phoenix,4.8,0.06,4915,4.76
2024-09-13 07:59:03,New York,2.29,0.06,3703,4.06
2024-09-12 10:25:03,Los Angeles,4.03,0.05,3822,2.23
2024-09-15 20:09:03,Chicago,3.55,0.17,4201,2.68
2024-09-14 19:08:03,Houston,1.92,0.11,3807,2.53
2024-09-14 05:42:03,Phoenix,4.72,0.1,4912,3.3
2024-09-14 17:44:03,New York,3.56,0.09,1761,3.33
2024-09-15 01:09:03,Los Angeles,1.94,0.16,3688,3.92
2024-09-15 12:05:03,Chicago,4.62,0.15,4743,4.58
2024-09-14 13:12:03,Houston,3.42,0.09,3964,4.02
2024-09-14 07:25:03,Phoenix,2.13,0.07,3981,1.64
2024-09-11 10:03:03,New York,1.71,0.16,1227,1.25
2024-09-14 15:19:03,Los Angeles,3.28,0.13,2049,2.16
2024-09-12 08:00:03,Chicago,3.24,0.11,4214,2.84
2024-09-15 18:20:03,Houston,2.13,0.02,2152,1.28
2024-09-11 20:22:03,Phoenix,4.9,0.13,4846,1.13
2024-09-11 11:39:03,New York,1.05,0.1,898,2.75
2024-09-13 03:34:03,Los Angeles,2.54,0.04,3034,3.4
2024-09-13 18:11:03,Chicago,1.09,0.11,1536,4.93
2024-09-14 01:29:03,Houston,1.57,0.14,3031,3.17
2024-09-15 02:07:03,Phoenix,3.73,0.02,3040,1.59
2024-09-13 10:17:03,New York,4.65,0.02,1493,1.1
2024-09-11 17:37:03,Los Angeles,4.34,0.14,3804,1.84
2024-09-14 07:34:03,Chicago,1.18,0.03,4588,1.44
2024-09-14 02:59:03,Houston,3.88,0.18,4407,1.6
2024-09-11 09:49:03,Phoenix,1.2,0.13,3338,2.73
2024-09-11 18:43:03,New York,1.28,0.01,1774,1.36
2024-09-12 04:23:03,Los Angeles,3.33,0.03,996,2.94
2024-09-15 08:57:03,Chicago,2.84,0.07,3951,4.38
2024-09-16 02:24:03,Houston,3.52,0.07,3444,2.44
2024-09-13 19:36:03,Phoenix,2.9,0.17,4593,1.14
2024-09-14 13:33:03,New York,3.44,0.09,4560,1.36
2024-09-15 14:23:03,Los Angeles,4.23,0.1,2392,3.35
2024-09-14 21:23:03,Chicago,3.28,0.18,1097,1.75
2024-09-12 22:25:03,Houston,2.72,0.19,4443,4.81
2024-09-16 05:01:03,Phoenix,2.09,0.11,2228,1.07
2024-09-12 15:03:03,New York,1.05,0.15,3616,2.06
2024-09-11 08:48:03,Los Angeles,3.83,0.02,1199,4.61
2024-09-14 00:23:03,Chicago,1.8,0.06,4091,4.25
2024-09-11 17:59:03,Houston,3.88,0.07,3636,1.15
2024-09-15 05:11:03,Phoenix,3.15,0.16,1940,4.59
2024-09-13 08:04:03,New York,4.94,0.19,2748,4.81
2024-09-12 02:15:03,Los Angeles,3.13,0.04,2272,4.11
2024-09-13 01:55:03,Chicago,3.87,0.0,4942,3.87
2024-09-12 08:53:03,Houston,4.58,0.02,4461,1.3
2024-09-11 13:06:03,Phoenix,2.08,0.05,3124,1.64
2024-09-11 07:19:03,New York,3.56,0.05,2517,4.9
2024-09-11 08:25:03,Los Angeles,1.36,0.05,3416,4.84
2024-09-14 12:20:03,Chicago,2.42,0.17,4005,2.98
2024-09-15 19:12:03,Houston,1.83,0.03,1565,3.19
2024-09-12 12:53:03,Phoenix,2.28,0.02,4232,4.29
2024-09-11 09:12:03,New York,3.93,0.15,2086,1.18
2024-09-15 15:31:03,Los Angeles,4.99,0.16,3474,1.17
2024-09-13 23:45:03,Chicago,4.8,0.06,875,3.84
2024-09-15 12:29:03,Houston,4.37,0.08,2313,2.47
2024-09-11 15:05:03,Phoenix,2.69,0.07,1747,1.92
2024-09-12 20:48:03,New York,3.47,0.14,782,3.73
2024-09-13 10:47:03,Los Angeles,3.22,0.01,4424,2.37
2024-09-15 02:44:03,Chicago,1.41,0.11,2389,1.24
2024-09-14 16:29:03,Houston,2.55,0.09,3665,1.91
2024-09-15 06:40:03,Phoenix,3.76,0.2,3959,3.56
2024-09-16 06:07:03,New York,3.74,0.06,4258,4.41
2024-09-15 04:54:03,Los Angeles,2.19,0.04,4437,3.87
2024-09-13 01:13:03,Chicago,1.33,0.0,2409,1.03
2024-09-14 10:31:03,Houston,4.75,0.12,532,1.15
2024-09-12 17:17:03,Phoenix,2.85,0.03,2626,3.37
2024-09-13 08:50:03,New York,4.87,0.03,2326,4.12
2024-09-13 17:36:03,Los Angeles,4.52,0.1,1336,1.18
2024-09-14 20:40:03,Chicago,1.28,0.06,1385,1.07
2024-09-15 20:56:03,Houston,4.68,0.16,2206,1.96
2024-09-11 14:44:03,Phoenix,4.14,0.13,986,3.57
2024-09-15 19:54:03,New York,2.52,0.04,3717,2.15
2024-09-13 20:55:03,Los Angeles,3.99,0.13,3870,3.36
2024-09-11 21:48:03,Chicago,3.62,0.17,1277,4.05
2024-09-13 09:44:03,Houston,4.68,0.02,4431,3.11
2024-09-14 05:52:03,Phoenix,4.95,0.06,4219,2.24
2024-09-13 12:00:03,New York,1.07,0.03,573,4.77
2024-09-12 03:21:03,Los Angeles,4.21,0.13,713,4.71
2024-09-14 19:35:03,Chicago,2.75,0.15,3533,3.33
2024-09-13 19:10:03,Houston,4.27,0.14,2763,4.99
2024-09-15 14:40:03,Phoenix,1.72,0.06,3221,4.71
2024-09-11 08:41:03,New York,3.67,0.02,1681,3.49
2024-09-13 00:54:03,Los Angeles,1.84,0.05,1832,3.04
2024-09-11 22:10:03,Chicago,3.46,0.13,3574,3.16
2024-09-12 16:09:03,Houston,1.16,0.06,2649,1.17
2024-09-12 16:11:03,Phoenix,1.26,0.09,3257,3.49
2024-09-13 22:22:03,New York,4.18,0.19,1453,2.18
2024-09-15 07:17:03,Los Angeles,4.0,0.08,3237,4.64
2024-09-14 11:31:03,Chicago,3.14,0.13,1726,3.76
2024-09-12 11:10:03,Houston,2.84,0.0,2226,1.69
2024-09-15 19:56:03,Phoenix,3.11,0.18,2981,4.87
2024-09-11 23:02:03,New York,4.48,0.02,4236,1.92
2024-09-13 19:29:03,Los Angeles,1.48,0.15,2615,4.71
2024-09-11 08:15:03,Chicago,4.57,0.14,4132,2.37
2024-09-11 12:14:03,Houston,3.89,0.09,1980,2.37
2024-09-11 09:24:03,Phoenix,1.33,0.12,3612,4.59
2024-09-13 11:35:03,New York,3.93,0.03,4137,3.07
2024-09-16 05:40:03,Los Angeles,2.24,0.14,2144,2.31
2024-09-12 18:10:03,Chicago,2.31,0.03,4862,3.02
2024-09-12 01:54:03,Houston,2.22,0.15,4320,4.88
2024-09-11 18:33:03,Phoenix,2.76,0.11,1758,2.88
2024-09-14 06:35:03,New York,4.54,0.02,2283,1.38
2024-09-11 23:09:03,Los Angeles,4.54,0.09,3996,4.53
2024-09-13 02:18:03,Chicago,3.23,0.0,4002,1.58
2024-09-12 15:05:03,Houston,2.09,0.01,2530,3.0
2024-09-16 05:45:03,Phoenix,3.45,0.03,4953,3.53
2024-09-11 07:33:03,New York,3.64,0.11,4392,4.76
2024-09-13 23:58:03,Los Angeles,1.05,0.16,3874,4.75
2024-09-13 04:05:03,Chicago,4.6,0.04,1219,4.1
2024-09-16 04:45:03,Houston,1.5,0.01,967,3.88
2024-09-12 20:44:03,Phoenix,4.74,0.2,3342,1.12
2024-09-11 13:14:03,New York,1.63,0.05,4592,2.45
2024-09-15 06:36:03,Los Angeles,1.76,0.12,1895,2.5
2024-09-13 03:51:03,Chicago,3.98,0.1,2953,2.16
2024-09-16 01:29:03,Houston,3.11,0.05,843,4.3
2024-09-12 17:46:03,Phoenix,4.76,0.19,3165,2.44
2024-09-15 01:51:03,New York,2.37,0.19,2349,3.04
2024-09-13 18:51:03,Los Angeles,4.81,0.09,3654,4.16
2024-09-12 21:59:03,Chicago,1.64,0.09,3741,1.44
2024-09-14 00:49:03,Houston,2.14,0.19,4333,2.67
2024-09-15 09:47:03,Phoenix,4.51,0.14,4088,4.95
2024-09-14 08:08:03,New York,2.6,0.18,3123,1.52
2024-09-16 00:49:03,Los Angeles,2.59,0.01,1960,4.79
2024-09-14 17:26:03,Chicago,4.35,0.17,4668,4.61
2024-09-12 19:39:03,Houston,2.47,0.13,4001,1.7
2024-09-15 11:17:03,Phoenix,1.42,0.18,508,4.69
2024-09-14 19:51:03,New York,3.13,0.19,4097,4.19
2024-09-15 06:12:03,Los Angeles,1.8,0.14,3012,2.14
2024-09-12 16:21:03,Chicago,4.08,0.13,3882,4.2
2024-09-11 13:04:03,Houston,4.04,0.15,4896,2.43
2024-09-16 01:55:03,Phoenix,1.84,0.11,1964,3.15
2024-09-15 08:05:03,New York,1.07,0.01,2354,3.67
2024-09-12 13:59:03,Los Angeles,3.54,0.03,676,4.65
2024-09-13 05:58:03,Chicago,4.09,0.14,914,2.85
2024-09-14 16:16:03,Houston,1.27,0.16,3269,3.67
2024-09-13 15:51:03,Phoenix,3.35,0.07,1249,2.28
2024-09-14 00:41:03,New York,4.23,0.1,3513,4.12
2024-09-16 00:27:03,Los Angeles,4.44,0.03,720,4.75
2024-09-12 23:09:03,Chicago,2.79,0.15,2078,2.34
2024-09-15 07:04:03,Houston,1.53,0.1,3483,3.99
2024-09-15 13:03:03,Phoenix,1.84,0.2,2197,2.48
2024-09-11 22:38:03,New York,2.96,0.11,548,1.78
2024-09-12 09:14:03,Los Angeles,1.26,0.18,1468,2.32
2024-09-14 11:49:03,Chicago,3.07,0.08,4203,2.39
2024-09-11 21:04:03,Houston,3.04,0.11,2479,4.92
2024-09-13 21:08:03,Phoenix,3.27,0.08,3909,2.46
2024-09-12 13:56:03,New York,3.07,0.14,1187,3.38
2024-09-15 10:22:03,Los Angeles,4.41,0.18,566,4.05
2024-09-15 04:26:03,Chicago,2.68,0.17,926,2.18
2024-09-15 08:55:03,Houston,1.33,0.16,1613,3.36
2024-09-11 19:29:03,Phoenix,3.54,0.1,3452,1.96
2024-09-15 08:50:03,New York,3.58,0.03,687,2.79
2024-09-12 20:27:03,Los Angeles,2.74,0.0,1597,3.41
2024-09-13 11:44:03,Chicago,2.56,0.1,1637,2.59
2024-09-14 10:11:03,Houston,1.91,0.02,1741,4.92
2024-09-11 10:24:03,Phoenix,4.13,0.09,1906,4.17
2024-09-13 06:39:03,New York,1.43,0.02,2432,4.93
2024-09-13 23:27:03,Los Angeles,1.77,0.11,839,2.46
2024-09-13 20:41:03,Chicago,3.44,0.08,4588,4.0
2024-09-13 15:20:03,Houston,4.23,0.17,1788,3.19
2024-09-14 02:35:03,Phoenix,4.19,0.0,2155,3.68
2024-09-15 17:18:03,New York,2.92,0.06,1090,3.26
2024-09-11 23:32:03,Los Angeles,4.9,0.06,4067,3.59
2024-09-13 17:13:03,Chicago,2.38,0.15,4010,4.51
2024-09-12 00:26:03,Houston,2.97,0.2,2753,2.59
2024-09-11 22:45:03,Phoenix,3.98,0.01,2039,2.51
2024-09-12 10:23:03,New York,4.22,0.01,4531,3.77
2024-09-11 19:28:03,Los Angeles,1.61,0.17,967,4.79
2024-09-11 20:31:03,Chicago,3.08,0.15,4042,1.87
2024-09-14 01:42:03,Houston,4.67,0.16,3566,2.45
2024-09-14 23:13:03,Phoenix,1.93,0.19,2771,2.79
2024-09-14 06:26:03,New York,1.75,0.04,973,2.95
2024-09-12 05:10:03,Los Angeles,3.94,0.05,1874,3.79
2024-09-13 07:38:03,Chicago,2.18,0.05,2677,2.85
2024-09-14 13:28:03,Houston,2.49,0.16,2120,4.06
2024-09-12 13:17:03,Phoenix,3.41,0.11,1797,1.76
2024-09-14 20:34:03,New York,2.17,0.05,2730,1.98
2024-09-12 04:55:03,Los Angeles,2.72,0.11,1241,1.69
2024-09-13 11:17:03,Chicago,2.03,0.04,1825,1.0
